frame,filename,x_min,x_max,y_min,y_max,x_c,y_c,objectID
0,simulated_test1,177,179,177,179,178,112,0
0,simulated_test1,181,183,181,183,182,114,1
0,simulated_test1,122,124,122,124,123,59,2
0,simulated_test1,56,58,56,58,57,92,3
1,simulated_test1,122,124,122,124,123,59,2
1,simulated_test1,180,182,180,182,181,114,1
1,simulated_test1,55,57,55,57,56,92,3
1,simulated_test1,178,180,178,180,179,113,0
2,simulated_test1,180,182,180,182,181,114,1
2,simulated_test1,55,57,55,57,56,92,3
2,simulated_test1,122,124,122,124,123,60,2
2,simulated_test1,177,179,177,179,178,112,0
3,simulated_test1,180,182,180,182,181,114,1
3,simulated_test1,178,180,178,180,179,112,0
3,simulated_test1,123,125,123,125,124,60,2
3,simulated_test1,54,56,54,56,55,92,3
4,simulated_test1,179,181,179,181,180,112,0
4,simulated_test1,122,124,122,124,123,60,2
4,simulated_test1,54,56,54,56,55,91,3
4,simulated_test1,179,181,179,181,180,115,1
5,simulated_test1,178,180,178,180,179,112,0
5,simulated_test1,180,182,180,182,181,115,1
5,simulated_test1,55,57,55,57,56,91,3
5,simulated_test1,123,125,123,125,124,59,2
6,simulated_test1,180,182,180,182,181,115,1
6,simulated_test1,55,57,55,57,56,91,3
6,simulated_test1,178,180,178,180,179,113,0
6,simulated_test1,123,125,123,125,124,60,2
7,simulated_test1,180,182,180,182,181,115,1
7,simulated_test1,123,125,123,125,124,59,2
7,simulated_test1,56,58,56,58,57,91,3
7,simulated_test1,177,179,177,179,178,112,0
8,simulated_test1,177,179,177,179,178,112,0
8,simulated_test1,123,125,123,125,124,59,2
8,simulated_test1,56,58,56,58,57,90,3
8,simulated_test1,181,183,181,183,182,114,1
9,simulated_test1,123,125,123,125,124,59,2
9,simulated_test1,56,58,56,58,57,90,3
9,simulated_test1,178,180,178,180,179,112,0
9,simulated_test1,180,182,180,182,181,113,1
10,simulated_test1,180,182,180,182,181,113,1
10,simulated_test1,178,180,178,180,179,111,0
10,simulated_test1,56,58,56,58,57,91,3
10,simulated_test1,122,124,122,124,123,60,2
11,simulated_test1,122,124,122,124,123,60,2
11,simulated_test1,56,58,56,58,57,91,3
11,simulated_test1,178,180,178,180,179,112,0
11,simulated_test1,180,182,180,182,181,114,1
12,simulated_test1,122,124,122,124,123,59,2
12,simulated_test1,56,58,56,58,57,90,3
12,simulated_test1,177,179,177,179,178,113,0
12,simulated_test1,181,183,181,183,182,113,1
13,simulated_test1,181,183,181,183,182,113,1
13,simulated_test1,56,58,56,58,57,90,3
13,simulated_test1,178,180,178,180,179,113,0
13,simulated_test1,122,124,122,124,123,60,2
14,simulated_test1,122,124,122,124,123,60,2
14,simulated_test1,181,183,181,183,182,114,1
14,simulated_test1,56,58,56,58,57,89,3
14,simulated_test1,177,179,177,179,178,112,0
15,simulated_test1,177,179,177,179,178,111,0
15,simulated_test1,180,182,180,182,181,114,1
15,simulated_test1,122,124,122,124,123,59,2
15,simulated_test1,55,57,55,57,56,88,3
16,simulated_test1,122,124,122,124,123,59,2
16,simulated_test1,178,180,178,180,179,111,0
16,simulated_test1,181,183,181,183,182,114,1
16,simulated_test1,54,56,54,56,55,88,3
17,simulated_test1,181,183,181,183,182,114,1
17,simulated_test1,177,179,177,179,178,111,0
17,simulated_test1,121,123,121,123,122,59,2
17,simulated_test1,54,56,54,56,55,87,3
18,simulated_test1,121,123,121,123,122,59,2
18,simulated_test1,180,182,180,182,181,114,1
18,simulated_test1,53,55,53,55,54,87,3
18,simulated_test1,176,178,176,178,177,110,0
19,simulated_test1,176,178,176,178,177,110,0
19,simulated_test1,181,183,181,183,182,114,1
19,simulated_test1,120,122,120,122,121,59,2
19,simulated_test1,53,55,53,55,54,88,3
20,simulated_test1,176,178,176,178,177,110,0
20,simulated_test1,181,183,181,183,182,114,1
20,simulated_test1,120,122,120,122,121,59,2
20,simulated_test1,52,54,52,54,53,88,3
21,simulated_test1,181,183,181,183,182,114,1
21,simulated_test1,52,54,52,54,53,88,3
21,simulated_test1,176,178,176,178,177,111,0
21,simulated_test1,121,123,121,123,122,59,2
22,simulated_test1,176,178,176,178,177,111,0
22,simulated_test1,180,182,180,182,181,114,1
22,simulated_test1,120,122,120,122,121,59,2
22,simulated_test1,52,54,52,54,53,87,3
23,simulated_test1,176,178,176,178,177,111,0
23,simulated_test1,180,182,180,182,181,114,1
23,simulated_test1,52,54,52,54,53,88,3
23,simulated_test1,121,123,121,123,122,58,2
24,simulated_test1,121,123,121,123,122,58,2
24,simulated_test1,176,178,176,178,177,112,0
24,simulated_test1,180,182,180,182,181,115,1
24,simulated_test1,53,55,53,55,54,88,3
25,simulated_test1,176,178,176,178,177,112,0
25,simulated_test1,180,182,180,182,181,116,1
25,simulated_test1,122,124,122,124,123,58,2
25,simulated_test1,54,56,54,56,55,87,3
26,simulated_test1,176,178,176,178,177,112,0
26,simulated_test1,181,183,181,183,182,116,1
26,simulated_test1,121,123,121,123,122,58,2
26,simulated_test1,54,56,54,56,55,88,3
27,simulated_test1,176,178,176,178,177,112,0
27,simulated_test1,182,184,182,184,183,116,1
27,simulated_test1,121,123,121,123,122,57,2
27,simulated_test1,53,55,53,55,54,87,3
28,simulated_test1,176,178,176,178,177,111,0
28,simulated_test1,182,184,182,184,183,115,1
28,simulated_test1,120,122,120,122,121,57,2
28,simulated_test1,54,56,54,56,55,88,3
29,simulated_test1,120,122,120,122,121,57,2
29,simulated_test1,54,56,54,56,55,88,3
29,simulated_test1,183,185,183,185,184,115,1
29,simulated_test1,175,177,175,177,176,112,0
30,simulated_test1,175,177,175,177,176,111,0
30,simulated_test1,184,186,184,186,185,115,1
30,simulated_test1,120,122,120,122,121,58,2
30,simulated_test1,55,57,55,57,56,88,3
31,simulated_test1,119,121,119,121,120,58,2
31,simulated_test1,174,176,174,176,175,110,0
31,simulated_test1,183,185,183,185,184,116,1
31,simulated_test1,54,56,54,56,55,89,3
32,simulated_test1,119,121,119,121,120,58,2
32,simulated_test1,183,185,183,185,184,115,1
32,simulated_test1,54,56,54,56,55,90,3
32,simulated_test1,175,177,175,177,176,109,0
33,simulated_test1,175,177,175,177,176,109,0
33,simulated_test1,119,121,119,121,120,58,2
33,simulated_test1,184,186,184,186,185,115,1
33,simulated_test1,53,55,53,55,54,90,3
34,simulated_test1,184,186,184,186,185,115,1
34,simulated_test1,175,177,175,177,176,110,0
34,simulated_test1,119,121,119,121,120,59,2
34,simulated_test1,54,56,54,56,55,90,3
35,simulated_test1,175,177,175,177,176,110,0
35,simulated_test1,185,187,185,187,186,115,1
35,simulated_test1,120,122,120,122,121,59,2
35,simulated_test1,54,56,54,56,55,89,3
36,simulated_test1,185,187,185,187,186,115,1
36,simulated_test1,54,56,54,56,55,89,3
36,simulated_test1,175,177,175,177,176,111,0
36,simulated_test1,120,122,120,122,121,58,2
37,simulated_test1,185,187,185,187,186,115,1
37,simulated_test1,120,122,120,122,121,58,2
37,simulated_test1,54,56,54,56,55,89,3
37,simulated_test1,174,176,174,176,175,111,0
38,simulated_test1,185,187,185,187,186,115,1
38,simulated_test1,120,122,120,122,121,58,2
38,simulated_test1,173,175,173,175,174,111,0
38,simulated_test1,55,57,55,57,56,88,3
39,simulated_test1,185,187,185,187,186,115,1
39,simulated_test1,173,175,173,175,174,112,0
39,simulated_test1,120,122,120,122,121,57,2
39,simulated_test1,54,56,54,56,55,89,3
40,simulated_test1,173,175,173,175,174,113,0
40,simulated_test1,186,188,186,188,187,115,1
40,simulated_test1,120,122,120,122,121,58,2
40,simulated_test1,53,55,53,55,54,89,3
41,simulated_test1,120,122,120,122,121,58,2
41,simulated_test1,187,189,187,189,188,115,1
41,simulated_test1,52,54,52,54,53,89,3
41,simulated_test1,174,176,174,176,175,112,0
42,simulated_test1,174,176,174,176,175,113,0
42,simulated_test1,186,188,186,188,187,115,1
42,simulated_test1,120,122,120,122,121,57,2
42,simulated_test1,52,54,52,54,53,90,3
43,simulated_test1,120,122,120,122,121,57,2
43,simulated_test1,173,175,173,175,174,113,0
43,simulated_test1,186,188,186,188,187,114,1
43,simulated_test1,53,55,53,55,54,90,3
44,simulated_test1,173,175,173,175,174,113,0
44,simulated_test1,120,122,120,122,121,57,2
44,simulated_test1,53,55,53,55,54,90,3
44,simulated_test1,187,189,187,189,188,114,1
45,simulated_test1,120,122,120,122,121,57,2
45,simulated_test1,173,175,173,175,174,112,0
45,simulated_test1,186,188,186,188,187,114,1
45,simulated_test1,54,56,54,56,55,90,3
46,simulated_test1,54,56,54,56,55,90,3
46,simulated_test1,187,189,187,189,188,114,1
46,simulated_test1,120,122,120,122,121,56,2
46,simulated_test1,172,174,172,174,173,113,0
47,simulated_test1,172,174,172,174,173,113,0
47,simulated_test1,54,56,54,56,55,90,3
47,simulated_test1,187,189,187,189,188,113,1
47,simulated_test1,119,121,119,121,120,57,2
48,simulated_test1,54,56,54,56,55,90,3
48,simulated_test1,171,173,171,173,172,113,0
48,simulated_test1,186,188,186,188,187,113,1
48,simulated_test1,120,122,120,122,121,57,2
49,simulated_test1,186,188,186,188,187,113,1
49,simulated_test1,120,122,120,122,121,57,2
49,simulated_test1,172,174,172,174,173,112,0
49,simulated_test1,53,55,53,55,54,89,3
50,simulated_test1,172,174,172,174,173,112,0
50,simulated_test1,185,187,185,187,186,113,1
50,simulated_test1,120,122,120,122,121,58,2
50,simulated_test1,54,56,54,56,55,89,3
51,simulated_test1,171,173,171,173,172,112,0
51,simulated_test1,186,188,186,188,187,113,1
51,simulated_test1,120,122,120,122,121,57,2
51,simulated_test1,54,56,54,56,55,90,3
52,simulated_test1,120,122,120,122,121,57,2
52,simulated_test1,171,173,171,173,172,111,0
52,simulated_test1,187,189,187,189,188,114,1
52,simulated_test1,53,55,53,55,54,89,3
53,simulated_test1,120,122,120,122,121,57,2
53,simulated_test1,186,188,186,188,187,114,1
53,simulated_test1,53,55,53,55,54,90,3
53,simulated_test1,170,172,170,172,171,112,0
54,simulated_test1,186,188,186,188,187,114,1
54,simulated_test1,119,121,119,121,120,57,2
54,simulated_test1,171,173,171,173,172,111,0
54,simulated_test1,54,56,54,56,55,89,3
55,simulated_test1,186,188,186,188,187,114,1
55,simulated_test1,119,121,119,121,120,57,2
55,simulated_test1,171,173,171,173,172,112,0
55,simulated_test1,54,56,54,56,55,90,3
56,simulated_test1,54,56,54,56,55,90,3
56,simulated_test1,171,173,171,173,172,113,0
56,simulated_test1,119,121,119,121,120,56,2
56,simulated_test1,185,187,185,187,186,115,1
57,simulated_test1,185,187,185,187,186,115,1
57,simulated_test1,119,121,119,121,120,57,2
57,simulated_test1,55,57,55,57,56,90,3
57,simulated_test1,172,174,172,174,173,112,0
58,simulated_test1,172,174,172,174,173,112,0
58,simulated_test1,119,121,119,121,120,57,2
58,simulated_test1,185,187,185,187,186,116,1
58,simulated_test1,55,57,55,57,56,89,3
59,simulated_test1,172,174,172,174,173,112,0
59,simulated_test1,119,121,119,121,120,57,2
59,simulated_test1,55,57,55,57,56,90,3
59,simulated_test1,184,186,184,186,185,115,1
60,simulated_test1,119,121,119,121,120,57,2
60,simulated_test1,55,57,55,57,56,90,3
60,simulated_test1,171,173,171,173,172,112,0
60,simulated_test1,185,187,185,187,186,115,1
61,simulated_test1,170,172,170,172,171,112,0
61,simulated_test1,185,187,185,187,186,116,1
61,simulated_test1,120,122,120,122,121,57,2
61,simulated_test1,56,58,56,58,57,90,3
62,simulated_test1,170,172,170,172,171,112,0
62,simulated_test1,120,122,120,122,121,57,2
62,simulated_test1,56,58,56,58,57,91,3
62,simulated_test1,184,186,184,186,185,115,1
63,simulated_test1,170,172,170,172,171,112,0
63,simulated_test1,184,186,184,186,185,115,1
63,simulated_test1,120,122,120,122,121,56,2
63,simulated_test1,57,59,57,59,58,92,3
64,simulated_test1,183,185,183,185,184,115,1
64,simulated_test1,119,121,119,121,120,56,2
64,simulated_test1,56,58,56,58,57,92,3
64,simulated_test1,171,173,171,173,172,111,0
65,simulated_test1,171,173,171,173,172,111,0
65,simulated_test1,119,121,119,121,120,56,2
65,simulated_test1,184,186,184,186,185,115,1
65,simulated_test1,56,58,56,58,57,93,3
66,simulated_test1,172,174,172,174,173,111,0
66,simulated_test1,185,187,185,187,186,115,1
66,simulated_test1,120,122,120,122,121,56,2
66,simulated_test1,55,57,55,57,56,92,3
67,simulated_test1,172,174,172,174,173,111,0
67,simulated_test1,185,187,185,187,186,114,1
67,simulated_test1,56,58,56,58,57,92,3
67,simulated_test1,119,121,119,121,120,57,2
68,simulated_test1,172,174,172,174,173,111,0
68,simulated_test1,185,187,185,187,186,114,1
68,simulated_test1,120,122,120,122,121,57,2
68,simulated_test1,57,59,57,59,58,93,3
69,simulated_test1,185,187,185,187,186,114,1
69,simulated_test1,120,122,120,122,121,56,2
69,simulated_test1,173,175,173,175,174,112,0
69,simulated_test1,56,58,56,58,57,92,3
70,simulated_test1,186,188,186,188,187,114,1
70,simulated_test1,121,123,121,123,122,56,2
70,simulated_test1,56,58,56,58,57,93,3
70,simulated_test1,172,174,172,174,173,111,0
71,simulated_test1,172,174,172,174,173,111,0
71,simulated_test1,56,58,56,58,57,93,3
71,simulated_test1,185,187,185,187,186,114,1
71,simulated_test1,120,122,120,122,121,56,2
72,simulated_test1,172,174,172,174,173,112,0
72,simulated_test1,185,187,185,187,186,113,1
72,simulated_test1,119,121,119,121,120,56,2
72,simulated_test1,55,57,55,57,56,93,3
73,simulated_test1,172,174,172,174,173,111,0
73,simulated_test1,185,187,185,187,186,112,1
73,simulated_test1,120,122,120,122,121,56,2
73,simulated_test1,54,56,54,56,55,93,3
74,simulated_test1,172,174,172,174,173,111,0
74,simulated_test1,186,188,186,188,187,112,1
74,simulated_test1,119,121,119,121,120,56,2
74,simulated_test1,55,57,55,57,56,94,3
75,simulated_test1,186,188,186,188,187,112,1
75,simulated_test1,119,121,119,121,120,56,2
75,simulated_test1,172,174,172,174,173,110,0
75,simulated_test1,56,58,56,58,57,94,3
76,simulated_test1,186,188,186,188,187,112,1
76,simulated_test1,171,173,171,173,172,110,0
76,simulated_test1,119,121,119,121,120,55,2
76,simulated_test1,57,59,57,59,58,93,3
77,simulated_test1,186,188,186,188,187,112,1
77,simulated_test1,171,173,171,173,172,111,0
77,simulated_test1,120,122,120,122,121,55,2
77,simulated_test1,56,58,56,58,57,94,3
78,simulated_test1,120,122,120,122,121,55,2
78,simulated_test1,56,58,56,58,57,94,3
78,simulated_test1,171,173,171,173,172,110,0
78,simulated_test1,185,187,185,187,186,113,1
79,simulated_test1,185,187,185,187,186,113,1
79,simulated_test1,56,58,56,58,57,94,3
79,simulated_test1,171,173,171,173,172,111,0
79,simulated_test1,120,122,120,122,121,54,2
80,simulated_test1,170,172,170,172,171,111,0
80,simulated_test1,186,188,186,188,187,113,1
80,simulated_test1,121,123,121,123,122,54,2
80,simulated_test1,57,59,57,59,58,93,3
81,simulated_test1,186,188,186,188,187,113,1
81,simulated_test1,121,123,121,123,122,53,2
