frame,filename,x_min,x_max,y_min,y_max,x_c,y_c,objectID
0,simulated_test1,177,179,177,179,178,112,0
0,simulated_test1,181,183,181,183,182,114,1
0,simulated_test1,122,124,122,124,123,59,2
0,simulated_test1,56,58,56,58,57,92,3
1,simulated_test1,122,124,122,124,123,60,2
1,simulated_test1,56,58,56,58,57,91,3
1,simulated_test1,178,180,178,180,179,111,0
1,simulated_test1,180,182,180,182,181,113,1
2,simulated_test1,181,183,181,183,182,114,1
2,simulated_test1,176,178,176,178,177,110,0
2,simulated_test1,120,122,120,122,121,59,2
2,simulated_test1,52,54,52,54,53,88,3
3,simulated_test1,120,122,120,122,121,58,2
3,simulated_test1,175,177,175,177,176,111,0
3,simulated_test1,55,57,55,57,56,88,3
3,simulated_test1,184,186,184,186,185,115,1
4,simulated_test1,120,122,120,122,121,58,2
4,simulated_test1,186,188,186,188,187,115,1
4,simulated_test1,53,55,53,55,54,89,3
4,simulated_test1,173,175,173,175,174,113,0
5,simulated_test1,120,122,120,122,121,58,2
5,simulated_test1,54,56,54,56,55,89,3
5,simulated_test1,172,174,172,174,173,112,0
5,simulated_test1,185,187,185,187,186,113,1
6,simulated_test1,171,173,171,173,172,112,0
6,simulated_test1,119,121,119,121,120,57,2
6,simulated_test1,55,57,55,57,56,90,3
6,simulated_test1,185,187,185,187,186,115,1
7,simulated_test1,172,174,172,174,173,111,0
7,simulated_test1,186,188,186,188,187,114,1
7,simulated_test1,121,123,121,123,122,56,2
7,simulated_test1,56,58,56,58,57,93,3
8,simulated_test1,186,188,186,188,187,113,1
8,simulated_test1,57,59,57,59,58,93,3
8,simulated_test1,170,172,170,172,171,111,0
8,simulated_test1,121,123,121,123,122,54,2
9,simulated_test1,121,123,121,123,122,54,2
9,simulated_test1,170,172,170,172,171,110,0
9,simulated_test1,186,188,186,188,187,114,1
9,simulated_test1,59,61,59,61,60,96,3
10,simulated_test1,59,61,59,61,60,94,3
10,simulated_test1,123,125,123,125,124,55,2
10,simulated_test1,188,190,188,190,189,116,1
10,simulated_test1,173,175,173,175,174,111,0
11,simulated_test1,188,190,188,190,189,116,1
11,simulated_test1,58,60,58,60,59,94,3
11,simulated_test1,174,176,174,176,175,112,0
11,simulated_test1,121,123,121,123,122,53,2
12,simulated_test1,188,190,188,190,189,115,1
12,simulated_test1,57,59,57,59,58,94,3
12,simulated_test1,122,124,122,124,123,52,2
12,simulated_test1,174,176,174,176,175,110,0
13,simulated_test1,58,60,58,60,59,95,3
13,simulated_test1,176,178,176,178,177,109,0
13,simulated_test1,190,192,190,192,191,116,1
13,simulated_test1,124,126,124,126,125,54,2
14,simulated_test1,191,193,191,193,192,115,1
14,simulated_test1,123,125,123,125,124,53,2
14,simulated_test1,178,180,178,180,179,110,0
14,simulated_test1,57,59,57,59,58,98,3
15,simulated_test1,178,180,178,180,179,112,0
15,simulated_test1,125,127,125,127,126,53,2
15,simulated_test1,190,192,190,192,191,117,1
15,simulated_test1,56,58,56,58,57,96,3
16,simulated_test1,125,127,125,127,126,51,2
16,simulated_test1,57,59,57,59,58,98,3
16,simulated_test1,180,182,180,182,181,110,0
16,simulated_test1,187,189,187,189,188,118,1
17,simulated_test1,57,59,57,59,58,97,3
17,simulated_test1,188,190,188,190,189,119,1
17,simulated_test1,127,129,127,129,128,50,2
17,simulated_test1,183,185,183,185,184,111,0
18,simulated_test1,56,58,56,58,57,98,3
18,simulated_test1,190,192,190,192,191,120,1
18,simulated_test1,125,127,125,127,126,49,2
18,simulated_test1,183,185,183,185,184,115,0
19,simulated_test1,190,192,190,192,191,119,1
19,simulated_test1,57,59,57,59,58,99,3
19,simulated_test1,181,183,181,183,182,114,0
19,simulated_test1,123,125,123,125,124,52,2
20,simulated_test1,56,58,56,58,57,100,3
20,simulated_test1,122,124,122,124,123,54,2
20,simulated_test1,192,194,192,194,193,121,1
20,simulated_test1,177,179,177,179,178,114,0
21,simulated_test1,193,195,193,195,194,121,1
21,simulated_test1,178,180,178,180,179,115,0
21,simulated_test1,122,124,122,124,123,56,2
21,simulated_test1,54,56,54,56,55,98,3
22,simulated_test1,123,125,123,125,124,56,2
22,simulated_test1,55,57,55,57,56,96,3
22,simulated_test1,195,197,195,197,196,123,1
22,simulated_test1,181,183,181,183,182,113,0
23,simulated_test1,195,197,195,197,196,124,1
23,simulated_test1,53,55,53,55,54,95,3
23,simulated_test1,123,125,123,125,124,53,2
23,simulated_test1,177,179,177,179,178,113,0
24,simulated_test1,123,125,123,125,124,54,2
24,simulated_test1,194,196,194,196,195,123,1
24,simulated_test1,54,56,54,56,55,96,3
24,simulated_test1,179,181,179,181,180,112,0
25,simulated_test1,54,56,54,56,55,95,3
25,simulated_test1,195,197,195,197,196,122,1
25,simulated_test1,181,183,181,183,182,111,0
25,simulated_test1,124,126,124,126,125,56,2
26,simulated_test1,125,127,125,127,126,55,2
26,simulated_test1,55,57,55,57,56,94,3
26,simulated_test1,179,181,179,181,180,112,0
26,simulated_test1,191,193,191,193,192,122,1
27,simulated_test1,191,193,191,193,192,123,1
27,simulated_test1,56,58,56,58,57,94,3
27,simulated_test1,181,183,181,183,182,112,0
27,simulated_test1,126,128,126,128,127,57,2
28,simulated_test1,179,181,179,181,180,112,0
28,simulated_test1,191,193,191,193,192,125,1
28,simulated_test1,55,57,55,57,56,96,3
28,simulated_test1,127,129,127,129,128,60,2
29,simulated_test1,128,130,128,130,129,60,2
29,simulated_test1,192,194,192,194,193,127,1
29,simulated_test1,180,182,180,182,181,109,0
29,simulated_test1,59,61,59,61,60,95,3
30,simulated_test1,58,60,58,60,59,96,3
30,simulated_test1,193,195,193,195,194,125,1
30,simulated_test1,129,131,129,131,130,62,2
30,simulated_test1,182,184,182,184,183,111,0
31,simulated_test1,194,196,194,196,195,123,1
31,simulated_test1,131,133,131,133,132,63,2
31,simulated_test1,56,58,56,58,57,98,3
31,simulated_test1,179,181,179,181,180,113,0
32,simulated_test1,179,181,179,181,180,113,0
32,simulated_test1,192,194,192,194,193,123,1
32,simulated_test1,56,58,56,58,57,96,3
32,simulated_test1,130,132,130,132,131,66,2
33,simulated_test1,130,132,130,132,131,66,2
33,simulated_test1,191,193,191,193,192,123,1
33,simulated_test1,55,57,55,57,56,95,3
33,simulated_test1,175,177,175,177,176,115,0
34,simulated_test1,192,194,192,194,193,122,1
34,simulated_test1,176,178,176,178,177,117,0
34,simulated_test1,56,58,56,58,57,93,3
34,simulated_test1,127,129,127,129,128,64,2
35,simulated_test1,192,194,192,194,193,122,1
35,simulated_test1,176,178,176,178,177,116,0
35,simulated_test1,129,131,129,131,130,65,2
35,simulated_test1,58,60,58,60,59,91,3
36,simulated_test1,175,177,175,177,176,117,0
36,simulated_test1,194,196,194,196,195,122,1
36,simulated_test1,129,131,129,131,130,63,2
36,simulated_test1,58,60,58,60,59,93,3
37,simulated_test1,176,178,176,178,177,117,0
37,simulated_test1,195,197,195,197,196,122,1
37,simulated_test1,130,132,130,132,131,63,2
37,simulated_test1,56,58,56,58,57,93,3
38,simulated_test1,194,196,194,196,195,121,1
38,simulated_test1,131,133,131,133,132,64,2
38,simulated_test1,58,60,58,60,59,95,3
38,simulated_test1,173,175,173,175,174,115,0
39,simulated_test1,194,196,194,196,195,119,1
39,simulated_test1,175,177,175,177,176,116,0
39,simulated_test1,130,132,130,132,131,66,2
39,simulated_test1,57,59,57,59,58,93,3
40,simulated_test1,174,176,174,176,175,116,0
40,simulated_test1,193,195,193,195,194,119,1
40,simulated_test1,130,132,130,132,131,67,2
40,simulated_test1,58,60,58,60,59,91,3
41,simulated_test1,174,176,174,176,175,117,0
41,simulated_test1,192,194,192,194,193,120,1
41,simulated_test1,132,134,132,134,133,66,2
41,simulated_test1,57,59,57,59,58,94,3
42,simulated_test1,131,133,131,133,132,66,2
42,simulated_test1,172,174,172,174,173,117,0
42,simulated_test1,191,193,191,193,192,118,1
42,simulated_test1,62,64,62,64,63,92,3
43,simulated_test1,173,175,173,175,174,116,0
43,simulated_test1,129,131,129,131,130,67,2
43,simulated_test1,189,191,189,191,190,120,1
43,simulated_test1,65,67,65,67,66,95,3
44,simulated_test1,173,175,173,175,174,115,0
44,simulated_test1,64,66,64,66,65,96,3
44,simulated_test1,189,191,189,191,190,118,1
44,simulated_test1,132,134,132,134,133,65,2
45,simulated_test1,188,190,188,190,189,117,1
45,simulated_test1,133,135,133,135,134,67,2
45,simulated_test1,62,64,62,64,63,97,3
45,simulated_test1,170,172,170,172,171,115,0
46,simulated_test1,63,65,63,65,64,97,3
46,simulated_test1,190,192,190,192,191,116,1
46,simulated_test1,169,171,169,171,170,111,0
46,simulated_test1,131,133,131,133,132,71,2
47,simulated_test1,170,172,170,172,171,112,0
47,simulated_test1,192,194,192,194,193,116,1
47,simulated_test1,63,65,63,65,64,94,3
47,simulated_test1,129,131,129,131,130,68,2
48,simulated_test1,194,196,194,196,195,115,1
48,simulated_test1,130,132,130,132,131,70,2
48,simulated_test1,64,66,64,66,65,97,3
48,simulated_test1,172,174,172,174,173,108,0
49,simulated_test1,131,133,131,133,132,70,2
49,simulated_test1,174,176,174,176,175,108,0
49,simulated_test1,192,194,192,194,193,115,1
49,simulated_test1,61,63,61,63,62,96,3
50,simulated_test1,174,176,174,176,175,108,0
50,simulated_test1,60,62,60,62,61,96,3
50,simulated_test1,132,134,132,134,133,71,2
50,simulated_test1,194,196,194,196,195,116,1
51,simulated_test1,174,176,174,176,175,109,0
51,simulated_test1,60,62,60,62,61,97,3
51,simulated_test1,134,136,134,136,135,71,2
51,simulated_test1,195,197,195,197,196,119,1
52,simulated_test1,134,136,134,136,135,71,2
52,simulated_test1,60,62,60,62,61,97,3
52,simulated_test1,174,176,174,176,175,111,0
52,simulated_test1,194,196,194,196,195,121,1
53,simulated_test1,60,62,60,62,61,97,3
53,simulated_test1,173,175,173,175,174,112,0
53,simulated_test1,135,137,135,137,136,69,2
53,simulated_test1,191,193,191,193,192,119,1
54,simulated_test1,192,194,192,194,193,119,1
54,simulated_test1,174,176,174,176,175,113,0
54,simulated_test1,133,135,133,135,134,69,2
54,simulated_test1,58,60,58,60,59,97,3
55,simulated_test1,174,176,174,176,175,114,0
55,simulated_test1,133,135,133,135,134,68,2
55,simulated_test1,58,60,58,60,59,96,3
55,simulated_test1,193,195,193,195,194,117,1
56,simulated_test1,57,59,57,59,58,97,3
56,simulated_test1,130,132,130,132,131,68,2
56,simulated_test1,177,179,177,179,178,113,0
56,simulated_test1,192,194,192,194,193,114,1
57,simulated_test1,178,180,178,180,179,114,0
57,simulated_test1,193,195,193,195,194,115,1
57,simulated_test1,56,58,56,58,57,100,3
57,simulated_test1,127,129,127,129,128,66,2
58,simulated_test1,176,178,176,178,177,116,0
58,simulated_test1,190,192,190,192,191,115,1
58,simulated_test1,126,128,126,128,127,69,2
58,simulated_test1,59,61,59,61,60,101,3
59,simulated_test1,175,177,175,177,176,116,0
59,simulated_test1,191,193,191,193,192,117,1
59,simulated_test1,128,130,128,130,129,70,2
59,simulated_test1,61,63,61,63,62,100,3
60,simulated_test1,61,63,61,63,62,100,3
60,simulated_test1,176,178,176,178,177,116,0
60,simulated_test1,192,194,192,194,193,116,1
60,simulated_test1,131,133,131,133,132,69,2
61,simulated_test1,192,194,192,194,193,117,1
61,simulated_test1,131,133,131,133,132,68,2
61,simulated_test1,174,176,174,176,175,117,0
61,simulated_test1,62,64,62,64,63,98,3
62,simulated_test1,175,177,175,177,176,117,0
62,simulated_test1,192,194,192,194,193,118,1
62,simulated_test1,62,64,62,64,63,99,3
62,simulated_test1,127,129,127,129,128,69,2
63,simulated_test1,129,131,129,131,130,69,2
63,simulated_test1,194,196,194,196,195,117,1
63,simulated_test1,171,173,171,173,172,115,0
63,simulated_test1,64,66,64,66,65,95,3
64,simulated_test1,129,131,129,131,130,68,2
64,simulated_test1,65,67,65,67,66,95,3
64,simulated_test1,169,171,169,171,170,115,0
64,simulated_test1,190,192,190,192,191,120,1
65,simulated_test1,65,67,65,67,66,95,3
65,simulated_test1,128,130,128,130,129,68,2
65,simulated_test1,191,193,191,193,192,121,1
65,simulated_test1,167,169,167,169,168,112,0
66,simulated_test1,165,167,165,167,166,112,0
66,simulated_test1,189,191,189,191,190,122,1
66,simulated_test1,66,68,66,68,67,93,3
66,simulated_test1,126,128,126,128,127,71,2
67,simulated_test1,125,127,125,127,126,70,2
67,simulated_test1,66,68,66,68,67,95,3
67,simulated_test1,191,193,191,193,192,121,1
67,simulated_test1,165,167,165,167,166,116,0
68,simulated_test1,164,166,164,166,165,116,0
68,simulated_test1,189,191,189,191,190,121,1
68,simulated_test1,127,129,127,129,128,70,2
68,simulated_test1,64,66,64,66,65,94,3
69,simulated_test1,190,192,190,192,191,120,1
69,simulated_test1,128,130,128,130,129,69,2
69,simulated_test1,166,168,166,168,167,118,0
69,simulated_test1,65,67,65,67,66,90,3
70,simulated_test1,66,68,66,68,67,90,3
70,simulated_test1,165,167,165,167,166,116,0
70,simulated_test1,129,131,129,131,130,66,2
70,simulated_test1,187,189,187,189,188,118,1
71,simulated_test1,187,189,187,189,188,118,1
71,simulated_test1,165,167,165,167,166,117,0
71,simulated_test1,128,130,128,130,129,66,2
71,simulated_test1,64,66,64,66,65,89,3
72,simulated_test1,128,130,128,130,129,65,2
72,simulated_test1,64,66,64,66,65,88,3
72,simulated_test1,165,167,165,167,166,115,0
72,simulated_test1,187,189,187,189,188,116,1
73,simulated_test1,166,168,166,168,167,115,0
73,simulated_test1,187,189,187,189,188,117,1
73,simulated_test1,64,66,64,66,65,87,3
73,simulated_test1,125,127,125,127,126,68,2
74,simulated_test1,165,167,165,167,166,115,0
74,simulated_test1,126,128,126,128,127,68,2
74,simulated_test1,187,189,187,189,188,115,1
74,simulated_test1,64,66,64,66,65,85,3
75,simulated_test1,166,168,166,168,167,114,0
75,simulated_test1,62,64,62,64,63,85,3
75,simulated_test1,124,126,124,126,125,72,2
75,simulated_test1,192,194,192,194,193,116,1
76,simulated_test1,166,168,166,168,167,113,0
76,simulated_test1,61,63,61,63,62,83,3
76,simulated_test1,121,123,121,123,122,72,2
76,simulated_test1,189,191,189,191,190,117,1
77,simulated_test1,120,122,120,122,121,73,2
77,simulated_test1,187,189,187,189,188,117,1
77,simulated_test1,164,166,164,166,165,114,0
77,simulated_test1,58,60,58,60,59,85,3
78,simulated_test1,120,122,120,122,121,73,2
78,simulated_test1,60,62,60,62,61,85,3
78,simulated_test1,163,165,163,165,164,111,0
78,simulated_test1,188,190,188,190,189,113,1
79,simulated_test1,189,191,189,191,190,113,1
79,simulated_test1,121,123,121,123,122,73,2
79,simulated_test1,59,61,59,61,60,86,3
79,simulated_test1,163,165,163,165,164,107,0
80,simulated_test1,59,61,59,61,60,88,3
80,simulated_test1,165,167,165,167,166,108,0
80,simulated_test1,190,192,190,192,191,115,1
80,simulated_test1,122,124,122,124,123,75,2
81,simulated_test1,191,193,191,193,192,115,1
81,simulated_test1,123,125,123,125,124,74,2
