object,frame,x_c,y_c
0,0,178,112
0,1,177,110
0,2,174,113
0,3,172,112
0,4,171,111
0,5,174,111
0,6,175,110
0,7,179,110
0,8,181,110
0,9,184,115
0,10,178,114
0,11,182,113
0,12,180,112
0,13,180,112
0,14,180,112
0,15,183,111
0,16,180,113
0,17,177,117
0,18,176,117
0,19,174,115
0,20,175,116
0,21,173,117
0,22,174,115
0,23,170,111
0,24,173,108
0,25,175,108
0,26,175,111
0,27,175,113
0,28,178,113
0,29,177,116
0,30,177,116
0,31,176,117
0,32,170,115
0,33,166,112
0,34,165,116
0,35,166,116
0,36,166,115
0,37,166,115
0,38,167,113
0,39,164,111
0,40,166,108
0,41,165,103
0,42,164,104
0,43,162,102
0,44,165,100
0,45,165,101
0,46,172,101
0,47,172,102
0,48,169,103
0,49,168,101
0,50,167,100
0,51,172,100
0,52,171,98
0,53,170,94
0,54,172,93
0,55,174,91
0,56,171,92
0,57,171,95
0,58,165,92
0,59,161,92
0,60,161,94
0,61,156,95
0,62,155,95
0,63,156,95
0,64,156,99
0,65,160,99
0,66,161,99
0,67,160,97
0,68,160,100
0,69,163,102
0,70,163,106
0,71,164,107
0,72,163,108
0,73,166,108
0,74,166,107
0,75,171,106
0,76,172,109
0,77,171,107
0,78,178,107
0,79,178,108
0,80,177,104
0,81,177,103
0,82,177,99
0,83,178,96
0,84,179,101
0,85,180,104
0,86,183,107
0,87,185,107
0,88,187,109
0,89,189,111
0,90,192,111
0,91,190,110
0,92,188,109
0,93,190,108
0,94,194,108
0,95,191,105
0,96,189,106
0,97,188,108
0,98,184,108
0,99,181,108
0,100,179,110
0,101,176,108
0,102,174,108
0,103,171,109
0,104,169,106
0,105,168,105
0,106,168,106
0,107,165,107
0,108,165,107
0,109,165,109
0,110,164,108
0,111,168,109
0,112,170,108
0,113,170,109
0,114,173,112
0,115,173,115
0,116,172,109
0,117,173,113
0,118,176,113
0,119,175,115
0,120,179,116
0,121,176,114
0,122,172,112
0,123,172,108
0,124,174,112
0,125,171,112
0,126,170,110
0,127,169,111
0,128,166,113
0,129,165,113
0,130,162,112
0,131,158,109
0,132,157,111
0,133,153,112
0,134,152,114
0,135,153,114
0,136,153,112
0,137,152,112
0,138,150,107
0,139,151,108
0,140,151,107
0,141,149,108
0,142,148,110
0,143,151,110
0,144,151,106
0,145,150,109
0,146,152,110
0,147,153,111
0,148,155,111
0,149,157,112
0,150,157,116
0,151,158,114
0,152,159,112
0,153,158,114
0,154,157,117
0,155,156,115
0,156,152,120
0,157,150,120
0,158,146,118
0,159,143,117
0,160,148,117
0,161,149,115
0,162,149,110
0,163,151,111
0,164,153,112
0,165,156,108
0,166,156,107
0,167,155,106
0,168,156,109
0,169,157,109
0,170,157,108
0,171,159,107
0,172,160,108
0,173,159,109
0,174,158,107
0,175,154,106
0,176,154,107
0,177,154,106
0,178,153,107
0,179,151,111
0,180,147,114
0,181,144,113
0,182,145,114
0,183,145,114
0,184,146,112
0,185,147,112
0,186,146,112
0,187,151,110
0,188,153,111
0,189,152,112
0,190,147,110
0,191,149,115
0,192,149,109
0,193,147,107
0,194,149,108
0,195,151,109
0,196,148,109
0,197,148,112
0,198,150,112
0,199,149,111
0,200,152,109
0,201,151,106
0,202,153,106
0,203,153,103
0,204,152,103
0,205,152,107
0,206,153,105
0,207,152,104
0,208,148,103
0,209,148,102
0,210,147,103
0,211,148,101
0,212,149,99
0,213,150,102
0,214,149,102
0,215,149,103
0,216,151,102
0,217,151,103
0,218,148,106
0,219,150,107
0,220,154,110
0,221,155,109
0,222,156,109
0,223,160,109
0,224,160,108
0,225,160,108
0,226,164,104
0,227,165,108
0,228,164,111
0,229,164,112
0,230,163,111
0,231,162,110
0,232,166,108
0,233,166,110
0,234,170,110
0,235,165,110
0,236,163,115
0,237,165,118
0,238,169,115
0,239,170,117
0,240,169,117
0,241,170,118
0,242,172,115
0,243,172,117
0,244,168,119
0,245,169,120
0,246,169,117
0,247,170,116
0,248,172,116
0,249,173,116
0,250,179,115
0,251,177,113
0,252,177,111
0,253,174,112
0,254,174,109
0,255,171,108
0,256,172,109
0,257,167,109
0,258,168,107
0,259,168,107
0,260,171,102
