frame,filename,x_min,x_max,y_min,y_max,x_c,y_c,objectID
0,simulated_test1,177,179,177,179,178,112,0
0,simulated_test1,181,183,181,183,182,114,1
0,simulated_test1,122,124,122,124,123,59,2
0,simulated_test1,56,58,56,58,57,92,3
1,simulated_test1,177,179,177,179,178,112,0
1,simulated_test1,180,182,180,182,181,114,1
1,simulated_test1,122,124,122,124,123,60,2
1,simulated_test1,55,57,55,57,56,92,3
2,simulated_test1,122,124,122,124,123,60,2
2,simulated_test1,179,181,179,181,180,115,1
2,simulated_test1,54,56,54,56,55,91,3
2,simulated_test1,179,181,179,181,180,112,0
3,simulated_test1,180,182,180,182,181,115,1
3,simulated_test1,123,125,123,125,124,60,2
3,simulated_test1,55,57,55,57,56,91,3
3,simulated_test1,178,180,178,180,179,113,0
4,simulated_test1,123,125,123,125,124,59,2
4,simulated_test1,177,179,177,179,178,112,0
4,simulated_test1,181,183,181,183,182,114,1
4,simulated_test1,56,58,56,58,57,90,3
5,simulated_test1,56,58,56,58,57,91,3
5,simulated_test1,178,180,178,180,179,111,0
5,simulated_test1,180,182,180,182,181,113,1
5,simulated_test1,122,124,122,124,123,60,2
6,simulated_test1,181,183,181,183,182,113,1
6,simulated_test1,122,124,122,124,123,59,2
6,simulated_test1,56,58,56,58,57,90,3
6,simulated_test1,177,179,177,179,178,113,0
7,simulated_test1,177,179,177,179,178,112,0
7,simulated_test1,181,183,181,183,182,114,1
7,simulated_test1,122,124,122,124,123,60,2
7,simulated_test1,56,58,56,58,57,89,3
8,simulated_test1,181,183,181,183,182,114,1
8,simulated_test1,122,124,122,124,123,59,2
8,simulated_test1,178,180,178,180,179,111,0
8,simulated_test1,54,56,54,56,55,88,3
9,simulated_test1,180,182,180,182,181,114,1
9,simulated_test1,121,123,121,123,122,59,2
9,simulated_test1,53,55,53,55,54,87,3
9,simulated_test1,176,178,176,178,177,110,0
10,simulated_test1,176,178,176,178,177,110,0
10,simulated_test1,181,183,181,183,182,114,1
10,simulated_test1,120,122,120,122,121,59,2
10,simulated_test1,52,54,52,54,53,88,3
11,simulated_test1,120,122,120,122,121,59,2
11,simulated_test1,176,178,176,178,177,111,0
11,simulated_test1,180,182,180,182,181,114,1
11,simulated_test1,52,54,52,54,53,87,3
12,simulated_test1,176,178,176,178,177,112,0
12,simulated_test1,180,182,180,182,181,115,1
12,simulated_test1,121,123,121,123,122,58,2
12,simulated_test1,53,55,53,55,54,88,3
13,simulated_test1,176,178,176,178,177,112,0
13,simulated_test1,121,123,121,123,122,58,2
13,simulated_test1,54,56,54,56,55,88,3
13,simulated_test1,181,183,181,183,182,116,1
14,simulated_test1,54,56,54,56,55,88,3
14,simulated_test1,176,178,176,178,177,111,0
14,simulated_test1,182,184,182,184,183,115,1
14,simulated_test1,120,122,120,122,121,57,2
15,simulated_test1,175,177,175,177,176,111,0
15,simulated_test1,120,122,120,122,121,58,2
15,simulated_test1,55,57,55,57,56,88,3
15,simulated_test1,184,186,184,186,185,115,1
16,simulated_test1,183,185,183,185,184,115,1
16,simulated_test1,119,121,119,121,120,58,2
16,simulated_test1,175,177,175,177,176,109,0
16,simulated_test1,54,56,54,56,55,90,3
17,simulated_test1,54,56,54,56,55,90,3
17,simulated_test1,175,177,175,177,176,110,0
17,simulated_test1,184,186,184,186,185,115,1
17,simulated_test1,119,121,119,121,120,59,2
18,simulated_test1,175,177,175,177,176,111,0
18,simulated_test1,185,187,185,187,186,115,1
18,simulated_test1,54,56,54,56,55,89,3
18,simulated_test1,120,122,120,122,121,58,2
19,simulated_test1,185,187,185,187,186,115,1
19,simulated_test1,120,122,120,122,121,58,2
19,simulated_test1,55,57,55,57,56,88,3
19,simulated_test1,173,175,173,175,174,111,0
20,simulated_test1,120,122,120,122,121,58,2
20,simulated_test1,186,188,186,188,187,115,1
20,simulated_test1,173,175,173,175,174,113,0
20,simulated_test1,53,55,53,55,54,89,3
21,simulated_test1,186,188,186,188,187,115,1
21,simulated_test1,174,176,174,176,175,113,0
21,simulated_test1,120,122,120,122,121,57,2
21,simulated_test1,52,54,52,54,53,90,3
22,simulated_test1,120,122,120,122,121,57,2
22,simulated_test1,173,175,173,175,174,113,0
22,simulated_test1,53,55,53,55,54,90,3
22,simulated_test1,187,189,187,189,188,114,1
23,simulated_test1,187,189,187,189,188,114,1
23,simulated_test1,172,174,172,174,173,113,0
23,simulated_test1,120,122,120,122,121,56,2
23,simulated_test1,54,56,54,56,55,90,3
24,simulated_test1,54,56,54,56,55,90,3
24,simulated_test1,171,173,171,173,172,113,0
24,simulated_test1,120,122,120,122,121,57,2
24,simulated_test1,186,188,186,188,187,113,1
25,simulated_test1,185,187,185,187,186,113,1
25,simulated_test1,120,122,120,122,121,58,2
25,simulated_test1,54,56,54,56,55,89,3
25,simulated_test1,172,174,172,174,173,112,0
26,simulated_test1,120,122,120,122,121,57,2
26,simulated_test1,53,55,53,55,54,89,3
26,simulated_test1,171,173,171,173,172,111,0
26,simulated_test1,187,189,187,189,188,114,1
27,simulated_test1,171,173,171,173,172,111,0
27,simulated_test1,186,188,186,188,187,114,1
27,simulated_test1,119,121,119,121,120,57,2
27,simulated_test1,54,56,54,56,55,89,3
28,simulated_test1,119,121,119,121,120,56,2
28,simulated_test1,54,56,54,56,55,90,3
28,simulated_test1,185,187,185,187,186,115,1
28,simulated_test1,171,173,171,173,172,113,0
29,simulated_test1,185,187,185,187,186,116,1
29,simulated_test1,119,121,119,121,120,57,2
29,simulated_test1,172,174,172,174,173,112,0
29,simulated_test1,55,57,55,57,56,89,3
30,simulated_test1,119,121,119,121,120,57,2
30,simulated_test1,171,173,171,173,172,112,0
30,simulated_test1,185,187,185,187,186,115,1
30,simulated_test1,55,57,55,57,56,90,3
31,simulated_test1,170,172,170,172,171,112,0
31,simulated_test1,184,186,184,186,185,115,1
31,simulated_test1,120,122,120,122,121,57,2
31,simulated_test1,56,58,56,58,57,91,3
32,simulated_test1,183,185,183,185,184,115,1
32,simulated_test1,56,58,56,58,57,92,3
32,simulated_test1,171,173,171,173,172,111,0
32,simulated_test1,119,121,119,121,120,56,2
33,simulated_test1,172,174,172,174,173,111,0
33,simulated_test1,120,122,120,122,121,56,2
33,simulated_test1,55,57,55,57,56,92,3
33,simulated_test1,185,187,185,187,186,115,1
34,simulated_test1,172,174,172,174,173,111,0
34,simulated_test1,185,187,185,187,186,114,1
34,simulated_test1,120,122,120,122,121,57,2
34,simulated_test1,57,59,57,59,58,93,3
35,simulated_test1,172,174,172,174,173,111,0
35,simulated_test1,186,188,186,188,187,114,1
35,simulated_test1,56,58,56,58,57,93,3
35,simulated_test1,121,123,121,123,122,56,2
36,simulated_test1,172,174,172,174,173,112,0
36,simulated_test1,55,57,55,57,56,93,3
36,simulated_test1,185,187,185,187,186,113,1
36,simulated_test1,119,121,119,121,120,56,2
37,simulated_test1,119,121,119,121,120,56,2
37,simulated_test1,172,174,172,174,173,111,0
37,simulated_test1,55,57,55,57,56,94,3
37,simulated_test1,186,188,186,188,187,112,1
38,simulated_test1,186,188,186,188,187,112,1
38,simulated_test1,119,121,119,121,120,55,2
38,simulated_test1,171,173,171,173,172,110,0
38,simulated_test1,57,59,57,59,58,93,3
39,simulated_test1,171,173,171,173,172,110,0
39,simulated_test1,120,122,120,122,121,55,2
39,simulated_test1,185,187,185,187,186,113,1
39,simulated_test1,56,58,56,58,57,94,3
40,simulated_test1,186,188,186,188,187,113,1
40,simulated_test1,170,172,170,172,171,111,0
40,simulated_test1,121,123,121,123,122,54,2
40,simulated_test1,57,59,57,59,58,93,3
41,simulated_test1,121,123,121,123,122,54,2
41,simulated_test1,187,189,187,189,188,113,1
41,simulated_test1,57,59,57,59,58,94,3
41,simulated_test1,172,174,172,174,173,111,0
42,simulated_test1,172,174,172,174,173,111,0
42,simulated_test1,187,189,187,189,188,114,1
42,simulated_test1,121,123,121,123,122,53,2
42,simulated_test1,58,60,58,60,59,94,3
43,simulated_test1,121,123,121,123,122,54,2
43,simulated_test1,58,60,58,60,59,95,3
43,simulated_test1,171,173,171,173,172,110,0
43,simulated_test1,187,189,187,189,188,116,1
44,simulated_test1,121,123,121,123,122,54,2
44,simulated_test1,171,173,171,173,172,111,0
44,simulated_test1,187,189,187,189,188,115,1
44,simulated_test1,59,61,59,61,60,95,3
45,simulated_test1,121,123,121,123,122,54,2
45,simulated_test1,59,61,59,61,60,96,3
45,simulated_test1,170,172,170,172,171,110,0
45,simulated_test1,186,188,186,188,187,114,1
46,simulated_test1,59,61,59,61,60,96,3
46,simulated_test1,121,123,121,123,122,55,2
46,simulated_test1,171,173,171,173,172,111,0
46,simulated_test1,187,189,187,189,188,116,1
47,simulated_test1,187,189,187,189,188,116,1
47,simulated_test1,59,61,59,61,60,95,3
47,simulated_test1,170,172,170,172,171,112,0
47,simulated_test1,120,122,120,122,121,54,2
48,simulated_test1,170,172,170,172,171,113,0
48,simulated_test1,188,190,188,190,189,116,1
48,simulated_test1,121,123,121,123,122,54,2
48,simulated_test1,59,61,59,61,60,94,3
49,simulated_test1,122,124,122,124,123,54,2
49,simulated_test1,59,61,59,61,60,95,3
49,simulated_test1,187,189,187,189,188,117,1
49,simulated_test1,172,174,172,174,173,112,0
50,simulated_test1,59,61,59,61,60,94,3
50,simulated_test1,173,175,173,175,174,111,0
50,simulated_test1,188,190,188,190,189,116,1
50,simulated_test1,123,125,123,125,124,55,2
51,simulated_test1,189,191,189,191,190,116,1
51,simulated_test1,58,60,58,60,59,94,3
51,simulated_test1,174,176,174,176,175,112,0
51,simulated_test1,122,124,122,124,123,54,2
52,simulated_test1,58,60,58,60,59,94,3
52,simulated_test1,189,191,189,191,190,115,1
52,simulated_test1,175,177,175,177,176,113,0
52,simulated_test1,121,123,121,123,122,53,2
53,simulated_test1,121,123,121,123,122,53,2
53,simulated_test1,189,191,189,191,190,116,1
53,simulated_test1,58,60,58,60,59,93,3
53,simulated_test1,174,176,174,176,175,112,0
54,simulated_test1,189,191,189,191,190,116,1
54,simulated_test1,175,177,175,177,176,112,0
54,simulated_test1,122,124,122,124,123,53,2
54,simulated_test1,59,61,59,61,60,93,3
55,simulated_test1,174,176,174,176,175,112,0
55,simulated_test1,188,190,188,190,189,116,1
55,simulated_test1,121,123,121,123,122,53,2
55,simulated_test1,58,60,58,60,59,94,3
56,simulated_test1,174,176,174,176,175,111,0
56,simulated_test1,122,124,122,124,123,52,2
56,simulated_test1,188,190,188,190,189,114,1
56,simulated_test1,59,61,59,61,60,92,3
57,simulated_test1,122,124,122,124,123,53,2
57,simulated_test1,175,177,175,177,176,110,0
57,simulated_test1,189,191,189,191,190,115,1
57,simulated_test1,57,59,57,59,58,93,3
58,simulated_test1,175,177,175,177,176,110,0
58,simulated_test1,189,191,189,191,190,115,1
58,simulated_test1,122,124,122,124,123,52,2
58,simulated_test1,57,59,57,59,58,94,3
59,simulated_test1,122,124,122,124,123,52,2
59,simulated_test1,57,59,57,59,58,94,3
59,simulated_test1,175,177,175,177,176,111,0
59,simulated_test1,189,191,189,191,190,114,1
60,simulated_test1,122,124,122,124,123,52,2
60,simulated_test1,57,59,57,59,58,94,3
60,simulated_test1,174,176,174,176,175,110,0
60,simulated_test1,188,190,188,190,189,115,1
61,simulated_test1,174,176,174,176,175,109,0
61,simulated_test1,58,60,58,60,59,94,3
61,simulated_test1,189,191,189,191,190,116,1
61,simulated_test1,123,125,123,125,124,54,2
62,simulated_test1,174,176,174,176,175,110,0
62,simulated_test1,189,191,189,191,190,115,1
62,simulated_test1,124,126,124,126,125,53,2
62,simulated_test1,58,60,58,60,59,96,3
63,simulated_test1,173,175,173,175,174,110,0
63,simulated_test1,190,192,190,192,191,116,1
63,simulated_test1,123,125,123,125,124,54,2
63,simulated_test1,57,59,57,59,58,94,3
64,simulated_test1,174,176,174,176,175,110,0
64,simulated_test1,189,191,189,191,190,116,1
64,simulated_test1,58,60,58,60,59,94,3
64,simulated_test1,124,126,124,126,125,53,2
65,simulated_test1,190,192,190,192,191,116,1
65,simulated_test1,124,126,124,126,125,54,2
65,simulated_test1,58,60,58,60,59,95,3
65,simulated_test1,176,178,176,178,177,109,0
66,simulated_test1,176,178,176,178,177,109,0
66,simulated_test1,191,193,191,193,192,116,1
66,simulated_test1,57,59,57,59,58,95,3
66,simulated_test1,125,127,125,127,126,53,2
67,simulated_test1,177,179,177,179,178,109,0
67,simulated_test1,190,192,190,192,191,116,1
67,simulated_test1,124,126,124,126,125,53,2
67,simulated_test1,58,60,58,60,59,95,3
68,simulated_test1,189,191,189,191,190,116,1
68,simulated_test1,58,60,58,60,59,96,3
68,simulated_test1,178,180,178,180,179,110,0
68,simulated_test1,125,127,125,127,126,52,2
69,simulated_test1,178,180,178,180,179,110,0
69,simulated_test1,190,192,190,192,191,116,1
69,simulated_test1,125,127,125,127,126,53,2
69,simulated_test1,58,60,58,60,59,98,3
70,simulated_test1,178,180,178,180,179,110,0
70,simulated_test1,57,59,57,59,58,98,3
70,simulated_test1,191,193,191,193,192,115,1
70,simulated_test1,123,125,123,125,124,53,2
71,simulated_test1,178,180,178,180,179,111,0
71,simulated_test1,191,193,191,193,192,116,1
71,simulated_test1,123,125,123,125,124,54,2
71,simulated_test1,57,59,57,59,58,97,3
72,simulated_test1,123,125,123,125,124,54,2
72,simulated_test1,56,58,56,58,57,97,3
72,simulated_test1,179,181,179,181,180,112,0
72,simulated_test1,191,193,191,193,192,118,1
73,simulated_test1,179,181,179,181,180,112,0
73,simulated_test1,124,126,124,126,125,54,2
73,simulated_test1,56,58,56,58,57,96,3
73,simulated_test1,191,193,191,193,192,116,1
74,simulated_test1,179,181,179,181,180,112,0
74,simulated_test1,56,58,56,58,57,95,3
74,simulated_test1,190,192,190,192,191,117,1
74,simulated_test1,125,127,125,127,126,53,2
75,simulated_test1,190,192,190,192,191,117,1
75,simulated_test1,125,127,125,127,126,53,2
75,simulated_test1,178,180,178,180,179,112,0
75,simulated_test1,56,58,56,58,57,96,3
76,simulated_test1,190,192,190,192,191,117,1
76,simulated_test1,177,179,177,179,178,112,0
76,simulated_test1,55,57,55,57,56,96,3
76,simulated_test1,124,126,124,126,125,52,2
77,simulated_test1,178,180,178,180,179,111,0
77,simulated_test1,189,191,189,191,190,118,1
77,simulated_test1,125,127,125,127,126,51,2
77,simulated_test1,56,58,56,58,57,97,3
78,simulated_test1,56,58,56,58,57,97,3
78,simulated_test1,179,181,179,181,180,112,0
78,simulated_test1,188,190,188,190,189,117,1
78,simulated_test1,126,128,126,128,127,50,2
79,simulated_test1,179,181,179,181,180,111,0
79,simulated_test1,57,59,57,59,58,98,3
79,simulated_test1,187,189,187,189,188,119,1
79,simulated_test1,124,126,124,126,125,51,2
80,simulated_test1,57,59,57,59,58,98,3
80,simulated_test1,187,189,187,189,188,118,1
80,simulated_test1,125,127,125,127,126,51,2
80,simulated_test1,180,182,180,182,181,110,0
81,simulated_test1,181,183,181,183,182,110,0
81,simulated_test1,125,127,125,127,126,50,2
