frame,filename,x_min,x_max,y_min,y_max,x_c,y_c,objectID
0,simulated_test1,406,408,406,408,407,775,0
1,simulated_test1,415,417,415,417,416,826,0
2,simulated_test1,377,379,377,379,378,749,0
3,simulated_test1,441,443,441,443,442,761,0
4,simulated_test1,394,396,394,396,395,760,0
5,simulated_test1,399,401,399,401,400,775,0
6,simulated_test1,322,324,322,324,323,753,0
7,simulated_test1,282,284,282,284,283,728,0
8,simulated_test1,372,374,372,374,373,732,0
9,simulated_test1,343,345,343,345,344,647,0
10,simulated_test1,814,816,814,816,815,346,1
11,simulated_test1,763,765,763,765,764,430,1
12,simulated_test1,690,692,690,692,691,374,1
13,simulated_test1,679,681,679,681,680,285,1
14,simulated_test1,751,753,751,753,752,273,1
15,simulated_test1,692,694,692,694,693,253,1
16,simulated_test1,625,627,625,627,626,191,1
17,simulated_test1,706,708,706,708,707,215,1
18,simulated_test1,694,696,694,696,695,261,1
19,simulated_test1,697,699,697,699,698,289,1
