frame,filename,x_min,x_max,y_min,y_max,x_c,y_c,objectID
0,simulated_test1,686,688,686,688,687,811,0
1,simulated_test1,465,467,465,467,466,376,1
1,simulated_test1,713,715,713,715,714,480,2
1,simulated_test1,235,237,235,237,236,822,3
2,simulated_test1,692,694,692,694,693,881,0
2,simulated_test1,427,429,427,429,428,299,1
3,simulated_test1,298,300,298,300,299,861,3
3,simulated_test1,629,631,629,631,630,335,2
4,simulated_test1,701,703,701,703,702,323,2
5,simulated_test1,449,451,449,451,450,325,1
5,simulated_test1,642,644,642,644,643,303,2
5,simulated_test1,230,232,230,232,231,769,3
6,simulated_test1,659,661,659,661,660,814,0
7,simulated_test1,656,658,656,658,657,265,2
7,simulated_test1,581,583,581,583,582,856,0
7,simulated_test1,137,139,137,139,138,720,3
7,simulated_test1,332,334,332,334,333,278,1
8,simulated_test1,107,109,107,109,108,652,3
8,simulated_test1,644,646,644,646,645,780,0
9,simulated_test1,393,395,393,395,394,197,1
