frame,filename,x_min,x_max,y_min,y_max,x_c,y_c,objectID
0,simulated_test1,686,688,810,812,687,811,0
1,simulated_test1,465,467,375,377,466,376,1
1,simulated_test1,713,715,479,481,714,480,2
1,simulated_test1,235,237,821,823,236,822,3
2,simulated_test1,692,694,880,882,693,881,0
2,simulated_test1,427,429,298,300,428,299,1
3,simulated_test1,298,300,860,862,299,861,3
3,simulated_test1,629,631,334,336,630,335,2
4,simulated_test1,701,703,322,324,702,323,2
5,simulated_test1,449,451,324,326,450,325,1
5,simulated_test1,642,644,302,304,643,303,2
5,simulated_test1,230,232,768,770,231,769,3
6,simulated_test1,659,661,813,815,660,814,0
7,simulated_test1,656,658,264,266,657,265,2
7,simulated_test1,581,583,855,857,582,856,0
7,simulated_test1,137,139,719,721,138,720,3
7,simulated_test1,332,334,277,279,333,278,1
8,simulated_test1,107,109,651,653,108,652,3
8,simulated_test1,644,646,779,781,645,780,0
9,simulated_test1,393,395,196,198,394,197,1
