frame,filename,x_min,x_max,y_min,y_max,x_c,y_c,objectID
1,NARS-17_000001.JPG.JPG,426,675,1717,1915,550.5,1816.0,0
2,NARS-17_000002.JPG.JPG,346,609,1739,1947,477.5,1843.0,0
2,NARS-17_000002.JPG.JPG,616,743,1020,1141,679.5,1080.5,1
7,NARS-17_000007.JPG.JPG,607,742,1012,1134,674.5,1073.0,1
7,NARS-17_000007.JPG.JPG,347,656,1794,2019,501.5,1906.5,0
7,NARS-17_000007.JPG.JPG,3997,4149,1295,1433,4073.0,1364.0,2
14,NARS-17_000014.JPG.JPG,3981,4148,1292,1441,4064.5,1366.5,2
14,NARS-17_000014.JPG.JPG,594,748,994,1135,671.0,1064.5,1
14,NARS-17_000014.JPG.JPG,317,650,1802,2029,483.5,1915.5,0
15,NARS-17_000015.JPG.JPG,3979,4141,1297,1436,4060.0,1366.5,2
15,NARS-17_000015.JPG.JPG,591,731,998,1130,661.0,1064.0,1
15,NARS-17_000015.JPG.JPG,317,635,1800,2028,476.0,1914.0,0
20,NARS-17_000020.JPG.JPG,559,736,997,1140,647.5,1068.5,1
20,NARS-17_000020.JPG.JPG,3968,4136,1234,1411,4052.0,1322.5,2
20,NARS-17_000020.JPG.JPG,197,530,1733,2016,363.5,1874.5,0
24,NARS-17_000024.JPG.JPG,559,783,985,1170,671.0,1077.5,1
24,NARS-17_000024.JPG.JPG,4056,4271,1251,1491,4163.5,1371.0,2
24,NARS-17_000024.JPG.JPG,472,791,1793,2053,631.5,1923.0,0
26,NARS-17_000026.JPG.JPG,542,800,1001,1201,671.0,1101.0,1
26,NARS-17_000026.JPG.JPG,4056,4284,1211,1504,4170.0,1357.5,2
26,NARS-17_000026.JPG.JPG,433,789,1806,2066,611.0,1936.0,0
26,NARS-17_000026.JPG.JPG,5167,5324,2617,2778,5245.5,2697.5,3
29,NARS-17_000029.JPG.JPG,525,815,979,1198,670.0,1088.5,1
29,NARS-17_000029.JPG.JPG,5163,5352,2635,2793,5257.5,2714.0,3
29,NARS-17_000029.JPG.JPG,358,767,1825,2080,562.5,1952.5,0
29,NARS-17_000029.JPG.JPG,4059,4293,1229,1535,4176.0,1382.0,2
29,NARS-17_000029.JPG.JPG,2701,2849,509,638,2775.0,573.5,4
41,NARS-17_000041.JPG.JPG,2703,2840,513,642,2771.5,577.5,4
41,NARS-17_000041.JPG.JPG,5166,5366,2634,2802,5266.0,2718.0,3
41,NARS-17_000041.JPG.JPG,507,816,969,1224,661.5,1096.5,1
41,NARS-17_000041.JPG.JPG,4026,4296,1235,1564,4161.0,1399.5,2
41,NARS-17_000041.JPG.JPG,350,789,1859,2106,569.5,1982.5,0
42,NARS-17_000042.JPG.JPG,2685,2842,516,648,2763.5,582.0,4
42,NARS-17_000042.JPG.JPG,5171,5369,2638,2805,5270.0,2721.5,3
42,NARS-17_000042.JPG.JPG,505,811,975,1225,658.0,1100.0,1
42,NARS-17_000042.JPG.JPG,4112,4324,1242,1569,4218.0,1405.5,2
42,NARS-17_000042.JPG.JPG,423,822,1873,2107,622.5,1990.0,0
43,NARS-17_000043.JPG.JPG,2679,2864,509,658,2771.5,583.5,4
43,NARS-17_000043.JPG.JPG,5181,5375,2625,2814,5278.0,2719.5,3
43,NARS-17_000043.JPG.JPG,498,809,968,1232,653.5,1100.0,1
43,NARS-17_000043.JPG.JPG,4105,4329,1223,1560,4217.0,1391.5,2
43,NARS-17_000043.JPG.JPG,369,802,1872,2120,585.5,1996.0,0
45,NARS-17_000045.JPG.JPG,2679,2856,501,664,2767.5,582.5,4
45,NARS-17_000045.JPG.JPG,496,795,959,1220,645.5,1089.5,1
45,NARS-17_000045.JPG.JPG,5181,5379,2594,2808,5280.0,2701.0,3
