frame,filename,x_min,x_max,y_min,y_max,x_c,y_c,objectID
407,THUL-01_000407.JPG,3817,4094,926,1177,3955.5,1051.5,0
407,THUL-01_000407.JPG,3525,3735,1731,1936,3630.0,1833.5,1
408,THUL-01_000408.JPG,3858,4110,917,1148,3984.0,1032.5,0
408,THUL-01_000408.JPG,3576,3778,1723,1917,3677.0,1820.0,1
408,THUL-01_000408.JPG,3589,3702,953,1091,3645.5,1022.0,2
410,THUL-01_000410.JPG,3593,3706,959,1097,3649.5,1028.0,2
410,THUL-01_000410.JPG,3862,4114,931,1162,3988.0,1046.5,0
410,THUL-01_000410.JPG,3590,3792,1745,1939,3691.0,1842.0,1
411,THUL-01_000411.JPG,3567,3801,1732,1945,3684.0,1838.5,1
411,THUL-01_000411.JPG,3598,3724,969,1110,3661.0,1039.5,2
411,THUL-01_000411.JPG,3852,4127,939,1193,3989.5,1066.0,0
412,THUL-01_000412.JPG,3543,3772,1736,1940,3657.5,1838.0,1
412,THUL-01_000412.JPG,3593,3717,975,1113,3655.0,1044.0,2
412,THUL-01_000412.JPG,3860,4125,965,1214,3992.5,1089.5,0
413,THUL-01_000413.JPG,3579,3730,967,1116,3654.5,1041.5,2
413,THUL-01_000413.JPG,3526,3760,1734,1957,3643.0,1845.5,1
413,THUL-01_000413.JPG,3857,4141,970,1241,3999.0,1105.5,0
414,THUL-01_000414.JPG,3584,3732,961,1116,3658.0,1038.5,2
414,THUL-01_000414.JPG,3524,3755,1729,1943,3639.5,1836.0,1
414,THUL-01_000414.JPG,3880,4135,980,1241,4007.5,1110.5,0
415,THUL-01_000415.JPG,3576,3709,961,1111,3642.5,1036.0,2
415,THUL-01_000415.JPG,3528,3749,1736,1953,3638.5,1844.5,1
415,THUL-01_000415.JPG,3882,4134,996,1244,4008.0,1120.0,0
416,THUL-01_000416.JPG,3559,3727,950,1109,3643.0,1029.5,2
416,THUL-01_000416.JPG,3525,3759,1723,1960,3642.0,1841.5,1
416,THUL-01_000416.JPG,3883,4143,967,1249,4013.0,1108.0,0
417,THUL-01_000417.JPG,3562,3704,949,1115,3633.0,1032.0,2
417,THUL-01_000417.JPG,3544,3775,1747,1965,3659.5,1856.0,1
417,THUL-01_000417.JPG,3880,4133,972,1228,4006.5,1100.0,0
418,THUL-01_000418.JPG,3544,3782,1743,1962,3663.0,1852.5,1
418,THUL-01_000418.JPG,3882,4137,969,1238,4009.5,1103.5,0
418,THUL-01_000418.JPG,3553,3706,940,1120,3629.5,1030.0,2
419,THUL-01_000419.JPG,3553,3699,955,1120,3626.0,1037.5,2
419,THUL-01_000419.JPG,3552,3775,1767,1985,3663.5,1876.0,1
419,THUL-01_000419.JPG,3872,4129,995,1264,4000.5,1129.5,0
420,THUL-01_000420.JPG,3853,4127,968,1240,3990.0,1104.0,0
420,THUL-01_000420.JPG,3546,3707,940,1121,3626.5,1030.5,2
420,THUL-01_000420.JPG,3546,3789,1762,1985,3667.5,1873.5,1
422,THUL-01_000422.JPG,3543,3703,982,1147,3623.0,1064.5,2
422,THUL-01_000422.JPG,3843,4110,1019,1286,3976.5,1152.5,0
422,THUL-01_000422.JPG,3522,3743,1805,1999,3632.5,1902.0,1
424,THUL-01_000424.JPG,3526,3707,948,1126,3616.5,1037.0,2
424,THUL-01_000424.JPG,3806,4094,964,1218,3950.0,1091.0,0
424,THUL-01_000424.JPG,3487,3713,1721,1945,3600.0,1833.0,1
425,THUL-01_000425.JPG,3531,3714,916,1100,3622.5,1008.0,2
425,THUL-01_000425.JPG,3505,3721,1680,1906,3613.0,1793.0,1
425,THUL-01_000425.JPG,3827,4100,925,1170,3963.5,1047.5,0
427,THUL-01_000427.JPG,3545,3728,915,1096,3636.5,1005.5,2
427,THUL-01_000427.JPG,3559,3780,1730,1947,3669.5,1838.5,1
427,THUL-01_000427.JPG,3862,4116,950,1188,3989.0,1069.0,0
428,THUL-01_000428.JPG,3543,3733,940,1113,3638.0,1026.5,2
428,THUL-01_000428.JPG,3849,4116,979,1246,3982.5,1112.5,0
428,THUL-01_000428.JPG,3562,3783,1769,1988,3672.5,1878.5,1
428,THUL-01_000428.JPG,2924,3043,1094,1240,2983.5,1167.0,3
429,THUL-01_000429.JPG,2912,3040,1096,1243,2976.0,1169.5,3
429,THUL-01_000429.JPG,3849,4114,987,1250,3981.5,1118.5,0
429,THUL-01_000429.JPG,3542,3741,950,1140,3641.5,1045.0,2
429,THUL-01_000429.JPG,3542,3772,1775,1990,3657.0,1882.5,1
