maxDisap,maxDist,runMean,num_frames,num_detections,num_objects,num_predictions,num_unique_objects,num_tracks,num_matches,num_switches,num_misses,num_false_positives,precision,recall,mota,motp,mostly_tracked,partially_tracked,mostly_lost
30, 1000, 40, 189,1724,1724,1724,32,25,1681,43,0,0,1.0,1.0,0.9750580046403712,0.0,32,0,0
120, 200, 90, 189,1724,1724,1724,32,53,1622,102,0,0,1.0,1.0,0.9408352668213457,0.0,32,0,0
60, 100, 110, 189,1724,1724,1724,32,107,1495,229,0,0,1.0,1.0,0.867169373549884,0.0,32,0,0
0, 900, 80, 189,1724,1724,1724,32,36,1691,33,0,0,1.0,1.0,0.9808584686774942,0.0,32,0,0
80, 700, 80, 189,1724,1724,1724,32,25,1668,56,0,0,1.0,1.0,0.9675174013921114,0.0,32,0,0
40, 500, 50, 189,1724,1724,1724,32,32,1666,58,0,0,1.0,1.0,0.9663573085846868,0.0,32,0,0
70, 100, 100, 189,1724,1724,1724,32,107,1495,229,0,0,1.0,1.0,0.867169373549884,0.0,32,0,0
110, 200, 60, 189,1724,1724,1724,32,53,1622,102,0,0,1.0,1.0,0.9408352668213457,0.0,32,0,0
90, 400, 90, 189,1724,1724,1724,32,31,1676,48,0,0,1.0,1.0,0.9721577726218098,0.0,32,0,0
110, 300, 110, 189,1724,1724,1724,32,37,1660,64,0,0,1.0,1.0,0.962877030162413,0.0,32,0,0
160, 500, 160, 189,1724,1724,1724,32,29,1688,36,0,0,1.0,1.0,0.9791183294663574,0.0,32,0,0
90, 200, 120, 189,1724,1724,1724,32,53,1622,102,0,0,1.0,1.0,0.9408352668213457,0.0,32,0,0
70, 0, 70, 189,1724,1724,1724,32,17,1661,63,0,0,1.0,1.0,0.9634570765661253,0.0,32,0,0
20, 400, 150, 189,1724,1724,1724,32,32,1670,54,0,0,1.0,1.0,0.968677494199536,0.0,32,0,0
160, 200, 140, 189,1724,1724,1724,32,53,1622,102,0,0,1.0,1.0,0.9408352668213457,0.0,32,0,0
50, 1000, 10, 189,1724,1724,1724,32,23,1693,31,0,0,1.0,1.0,0.9820185614849188,0.0,32,0,0
0, 1000, 20, 189,1724,1724,1724,32,35,1696,28,0,0,1.0,1.0,0.9837587006960556,0.0,32,0,0
10, 100, 100, 189,1724,1724,1724,32,134,1545,179,0,0,1.0,1.0,0.8961716937354989,0.0,32,0,0
140, 400, 140, 189,1724,1724,1724,32,31,1676,48,0,0,1.0,1.0,0.9721577726218098,0.0,32,0,0
40, 200, 160, 189,1724,1724,1724,32,55,1621,103,0,0,1.0,1.0,0.9402552204176334,0.0,32,0,0
110, 400, 20, 189,1724,1724,1724,32,32,1683,41,0,0,1.0,1.0,0.9762180974477959,0.0,32,0,0
70, 700, 80, 189,1724,1724,1724,32,25,1668,56,0,0,1.0,1.0,0.9675174013921114,0.0,32,0,0
140, 500, 90, 189,1724,1724,1724,32,29,1688,36,0,0,1.0,1.0,0.9791183294663574,0.0,32,0,0
130, 100, 150, 189,1724,1724,1724,32,105,1499,225,0,0,1.0,1.0,0.8694895591647331,0.0,32,0,0
80, 1000, 60, 189,1724,1724,1724,32,23,1675,49,0,0,1.0,1.0,0.9715777262180975,0.0,32,0,0
140, 500, 30, 189,1724,1724,1724,32,28,1678,46,0,0,1.0,1.0,0.9733178654292344,0.0,32,0,0
90, 600, 90, 189,1724,1724,1724,32,26,1673,51,0,0,1.0,1.0,0.9704176334106729,0.0,32,0,0
60, 600, 130, 189,1724,1724,1724,32,27,1674,50,0,0,1.0,1.0,0.9709976798143851,0.0,32,0,0
120, 900, 130, 189,1724,1724,1724,32,23,1665,59,0,0,1.0,1.0,0.9657772621809745,0.0,32,0,0
10, 900, 70, 189,1724,1724,1724,32,29,1681,43,0,0,1.0,1.0,0.9750580046403712,0.0,32,0,0
80, 600, 20, 189,1724,1724,1724,32,25,1698,26,0,0,1.0,1.0,0.9849187935034803,0.0,32,0,0
10, 0, 160, 189,1724,1724,1724,32,19,1667,57,0,0,1.0,1.0,0.9669373549883991,0.0,32,0,0
0, 300, 1, 189,1724,1724,1724,32,42,1709,15,0,0,1.0,1.0,0.9912993039443155,0.0,32,0,0
70, 0, 100, 189,1724,1724,1724,32,17,1660,64,0,0,1.0,1.0,0.962877030162413,0.0,32,0,0
60, 800, 1, 189,1724,1724,1724,32,22,1709,15,0,0,1.0,1.0,0.9912993039443155,0.0,32,0,0
0, 0, 100, 189,1724,1724,1724,32,31,1669,55,0,0,1.0,1.0,0.9680974477958236,0.0,32,0,0
40, 800, 120, 189,1724,1724,1724,32,26,1680,44,0,0,1.0,1.0,0.974477958236659,0.0,32,0,0
30, 400, 20, 189,1724,1724,1724,32,33,1683,41,0,0,1.0,1.0,0.9762180974477959,0.0,32,0,0
90, 800, 130, 189,1724,1724,1724,32,24,1667,57,0,0,1.0,1.0,0.9669373549883991,0.0,32,0,0
90, 800, 80, 189,1724,1724,1724,32,24,1665,59,0,0,1.0,1.0,0.9657772621809745,0.0,32,0,0
40, 800, 60, 189,1724,1724,1724,32,26,1677,47,0,0,1.0,1.0,0.972737819025522,0.0,32,0,0
60, 0, 60, 189,1724,1724,1724,32,17,1670,54,0,0,1.0,1.0,0.968677494199536,0.0,32,0,0
110, 1000, 30, 189,1724,1724,1724,32,23,1687,37,0,0,1.0,1.0,0.978538283062645,0.0,32,0,0
120, 700, 20, 189,1724,1724,1724,32,25,1698,26,0,0,1.0,1.0,0.9849187935034803,0.0,32,0,0
0, 400, 150, 189,1724,1724,1724,32,43,1691,33,0,0,1.0,1.0,0.9808584686774942,0.0,32,0,0
160, 200, 130, 189,1724,1724,1724,32,53,1622,102,0,0,1.0,1.0,0.9408352668213457,0.0,32,0,0
110, 300, 50, 189,1724,1724,1724,32,37,1652,72,0,0,1.0,1.0,0.9582366589327146,0.0,32,0,0
140, 300, 60, 189,1724,1724,1724,32,37,1655,69,0,0,1.0,1.0,0.9599767981438515,0.0,32,0,0
40, 100, 50, 189,1724,1724,1724,32,111,1496,228,0,0,1.0,1.0,0.8677494199535962,0.0,32,0,0
130, 100, 60, 189,1724,1724,1724,32,105,1499,225,0,0,1.0,1.0,0.8694895591647331,0.0,32,0,0
20, 1000, 30, 189,1724,1724,1724,32,26,1689,35,0,0,1.0,1.0,0.9796983758700696,0.0,32,0,0
30, 1000, 20, 189,1724,1724,1724,32,24,1696,28,0,0,1.0,1.0,0.9837587006960556,0.0,32,0,0
80, 200, 40, 189,1724,1724,1724,32,53,1626,98,0,0,1.0,1.0,0.9431554524361949,0.0,32,0,0
20, 800, 60, 189,1724,1724,1724,32,29,1673,51,0,0,1.0,1.0,0.9704176334106729,0.0,32,0,0
70, 1000, 110, 189,1724,1724,1724,32,23,1667,57,0,0,1.0,1.0,0.9669373549883991,0.0,32,0,0
110, 700, 80, 189,1724,1724,1724,32,25,1668,56,0,0,1.0,1.0,0.9675174013921114,0.0,32,0,0
130, 100, 30, 189,1724,1724,1724,32,105,1499,225,0,0,1.0,1.0,0.8694895591647331,0.0,32,0,0
50, 900, 30, 189,1724,1724,1724,32,24,1687,37,0,0,1.0,1.0,0.978538283062645,0.0,32,0,0
140, 800, 70, 189,1724,1724,1724,32,24,1665,59,0,0,1.0,1.0,0.9657772621809745,0.0,32,0,0
50, 200, 160, 189,1724,1724,1724,32,54,1622,102,0,0,1.0,1.0,0.9408352668213457,0.0,32,0,0
60, 900, 60, 189,1724,1724,1724,32,23,1674,50,0,0,1.0,1.0,0.9709976798143851,0.0,32,0,0
